Date,Description,Category,Amount,Type
2026-06-01,Monthly Salary,Salary,150000,INCOME
2026-06-05,Supermarket Groceries,Groceries,8500,EXPENSE
2026-06-10,Monthly Rent,Rent,32000,EXPENSE
2026-06-12,Freelance Project,Other,25000,INCOME
2026-06-15,Electric Utility Bill,Utilities,4200,EXPENSE
2026-06-18,Restaurant Dining,Entertainment,5600,EXPENSE
2026-06-25,Investment Dividends,Investment,12000,INCOME
2026-07-01,Monthly Salary,Salary,150000,INCOME
2026-07-04,Groceries and Supplies,Groceries,7200,EXPENSE
2026-07-10,Monthly Rent,Rent,32000,EXPENSE
2026-07-12,Gadget Purchase,Other,18000,EXPENSE
